"Short Form Termination Date","Short Form Date","Short Form Last Name","Short Form First Name","Registration Number","Registration Date","Registrant Name","Address 1","Address 2","City","State","Zip"
"","","McManus","Michael","7621","07/07/2025","88 Dragons PR, Inc","","","","",""
"","06/25/2025","Mbangukira","Yehoyada","7617","06/25/2025","USRCA (United States Rwandan Community Abroad)","3511 Patriot Court","","Antioch","CA","94509"
"","06/17/2025","Michel","Frantz","7613","06/17/2025","Vision Communication ET Consultation, LLC","3969 Heidi Road West","","Jacksonville","FL","32277"
"","06/17/2025","Jean Baptiste","Marc Sony","7613","06/17/2025","Vision Communication ET Consultation, LLC","3969 Heidi Road West","","Jacksonville","FL","32277"
"","06/17/2025","Myrtho","Nicanord","7613","06/17/2025","Vision Communication ET Consultation, LLC","3969 Heidi Road West","","Jacksonville","FL","32277"
"","06/12/2025","Marks Jr.","Richard E.","7610","06/12/2025","Robertson Monagle & Eastaugh LLC","151 Nettle Creek Road","","Vesuvius","VA","24483"
"","06/06/2025","Gilley","Robert","7608","06/06/2025","Gilley's Fastener Sales and Consulting LLC","14900 Lyons Street","","Livonia","MI","48154"
"06/06/2025","06/06/2025","Grant Sr.","Duntae Tamar","7607","06/06/2025","Grant, Duntae Tamar","1049 Snowy Owl Drive","","Alvarado","TX","76009"
"","06/02/2025","Knight","Amy Pickering","7604","06/02/2025","Knight Law Firm, PC","3849 E Broadway Blvd, ","Ste 292","Tucson","AZ","85716"
"","06/02/2025","Pino","Camilo","7603","06/02/2025","Spiral Hub","9157 Abbott Avenue","","Town of Surfside ","FL","33154"
"","06/16/2025","Cedro Limperopulo","Maria Soledad","7600","05/28/2025","Tactic COC LLC","333 SE 2d Avenue ","Suite 2810","Miami","FL","33131"
"","05/28/2025","Wren","Caroline Morgan","7600","05/28/2025","Tactic COC LLC","333 SE 2d Avenue ","Suite 2810","Miami","FL","33131"
"","05/28/2025","Coyne","Ryan Patrick","7600","05/28/2025","Tactic COC LLC","333 SE 2d Avenue ","Suite 2810","Miami","FL","33131"
"","05/27/2025","McGlothlin","Gerald Bruce","7599","05/27/2025","Special Guests Publicity LLC","706 N Shore Drive","","Hickory","NC","28601"
"","05/26/2025","Rubino","Michael","7598","05/26/2025","Forward Global US, Inc.","1010 Wisconsin Avenue, NW ","Suite 710","Washington","DC","20007"
"","05/26/2025","Irwin","Elizabeth","7598","05/26/2025","Forward Global US, Inc.","1010 Wisconsin Avenue, NW ","Suite 710","Washington","DC","20007"
"","05/26/2025","Mathiasen","Thomas","7598","05/26/2025","Forward Global US, Inc.","1010 Wisconsin Avenue, NW ","Suite 710","Washington","DC","20007"
"","05/26/2025","Davis","Landon Tucker","7598","05/26/2025","Forward Global US, Inc.","1010 Wisconsin Avenue, NW ","Suite 710","Washington","DC","20007"
"","05/26/2025","Martin","Emmett","7598","05/26/2025","Forward Global US, Inc.","1010 Wisconsin Avenue, NW ","Suite 710","Washington","DC","20007"
"","05/22/2025","Allman","David","7597","05/22/2025","K&L Gates, LLP","210 Sixth Avenue",""," Pittsburgh","PA","15222"
"","05/22/2025","Sako","Yuki","7597","05/22/2025","K&L Gates, LLP","210 Sixth Avenue",""," Pittsburgh","PA","15222"
"","05/22/2025","Bolin","Nathaniel","7597","05/22/2025","K&L Gates, LLP","210 Sixth Avenue",""," Pittsburgh","PA","15222"
"","05/21/2025","Ahmed","Summer","7596","05/21/2025","Southern Transitional Council","1500 K ST NW, 2nd Floor",""," Washington","DC","20005"
"","05/20/2025","Sullivan","Michael J.","7595","05/20/2025","Ashcroft Law Firm, LLC","1100 Main Street, 2700","","Kansas City","MT","64105"
"","05/20/2025","Harrington","Kelsey","7595","05/20/2025","Ashcroft Law Firm, LLC","1100 Main Street, 2700","","Kansas City","MT","64105"
"","05/20/2025","Day","Lori Sharpe","7595","05/20/2025","Ashcroft Law Firm, LLC","1100 Main Street, 2700","","Kansas City","MT","64105"
"","05/20/2025","Melkessetian","Haig","7595","05/20/2025","Ashcroft Law Firm, LLC","1100 Main Street, 2700","","Kansas City","MT","64105"
"","05/16/2025","Hofmeister","Sallie Ann","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/16/2025","Sitrick","Michael S.","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/16/2025","Schreier","Carly Jade","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/16/2025","Pruitt-Marriott","Angela","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/16/2025","Mello","Madison Andette","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/16/2025","Kaufman","Zachary B.","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/16/2025","Bar Tur","Yael","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/16/2025","Wilner","Richard Joseph","7593","05/16/2025","Sitrick Group, LLC","11999 San Vicente Blvd., Suite 400","","Los Angeles","CA","90049"
"","05/09/2025","Dembia","Dennis","7588","05/09/2025","IPG DXTRA Entertainment, Inc. d/b/a Rogers & Cowan PMK","1840 Century Park East",""," Los Angeles","CA","90067"
"","05/07/2025","Halbig von Schleppenbach","Jacqueline","7587","05/07/2025","Sovereign Global Solutions, LLC","13181 Piedmont Vista Drive","","Haymarket","VA","20169"
"","05/05/2025","Wienecke","Nathaniel Frederick","7585","05/05/2025","Conscience Point Consulting","20 8th Street, SE","","Washington","DC","20003"
"","05/05/2025","Foster","Brandy","7584","05/05/2025","Mintovate Technologies LLC","500 E 3rd St, Apt 312","","Dayton","OH","45402-5105"
"","05/03/2025","Kuebler","Sam","7583","05/03/2025","Lighthouse Strategies LLC","800 New Jersey Ave SE, Unit 722","","Washington","DC","20003"
"","05/02/2025","Anderson","Kristen Soltis","7581","05/02/2025","Echelon Insights, LLC","108 S. Washington St., Ste. 250","","Alexandria","VA","22314"
"","04/25/2025","Sorial","George A.","7579","04/25/2025","Javelin Advisors LLC","433 Plaza Real","Suite 275","Boca Raton","FL","33432"
"","04/25/2025","Schiller","Keith","7579","04/25/2025","Javelin Advisors LLC","433 Plaza Real","Suite 275","Boca Raton","FL","33432"
"","04/24/2025","Miller","Jason","7578","04/24/2025","SHW Partners LLC","4532 Cherry Hill Road #571","","Arlington","VA","22207"
"","06/11/2025","Galan","Vladislava","7576","04/18/2025","BGD Legal & Consulting LLC","3017 Bolling Way, Suite 130","","Atlanta","GA","30305"
"","06/11/2025","Birnbaum","George Eli","7576","04/18/2025","BGD Legal & Consulting LLC","3017 Bolling Way, Suite 130","","Atlanta","GA","30305"
"","04/18/2025","Delnero","Daniel Lee","7576","04/18/2025","BGD Legal & Consulting LLC","3017 Bolling Way, Suite 130","","Atlanta","GA","30305"
"","04/17/2025","Richardson","Davis","7574","04/17/2025","Paradox Public Relations","8 Gramercy Park South 5G","","New York","NY","10003"
"","04/11/2025","Quamme","Steven","7572","04/11/2025","Orchid Advisors, LLC","1055 Thomas Jefferson Street, NW"," Suite 303","Washington","DC","20007"
"","04/11/2025","DeNaut","James","7572","04/11/2025","Orchid Advisors, LLC","1055 Thomas Jefferson Street, NW"," Suite 303","Washington","DC","20007"
"","04/10/2025","Serrano","Mark","7571","04/10/2025","The Kerik Group LLC","905 Old Mill Road","","Franklin Lakes","NJ","07417"
"","04/10/2025","Kerik","Bernard","7571","04/10/2025","The Kerik Group LLC","905 Old Mill Road","","Franklin Lakes","NJ","07417"
"","05/07/2025","Astuno","Andrew","7570","04/10/2025","Seiden Law LLP","322 8th Avenue, Suite 1200","","New York","NY","10001"
"","04/10/2025","Seiden","Robert Wayne","7570","04/10/2025","Seiden Law LLP","322 8th Avenue, Suite 1200","","New York","NY","10001"
"","04/10/2025","Gold","Dov","7570","04/10/2025","Seiden Law LLP","322 8th Avenue, Suite 1200","","New York","NY","10001"
"","04/07/2025","Hoekstra","Matthew","7568","04/07/2025","Williams & Jensen, PLLC","1201 Pennsylvania Avenue, NW","Suite 800","Washington","DC","20004"
"","04/07/2025","Hirschmann","Susan","7568","04/07/2025","Williams & Jensen, PLLC","1201 Pennsylvania Avenue, NW","Suite 800","Washington","DC","20004"
"06/13/2025","04/07/2025","Kiko","Phil","7568","04/07/2025","Williams & Jensen, PLLC","1201 Pennsylvania Avenue, NW","Suite 800","Washington","DC","20004"
"","04/07/2025","Stokes","Spencer","7567","04/07/2025","Stokes Strategies LLC","505 East South Temple Suite 200","","Salt Lake City","UT","84102"
"","04/07/2025","Holtzman","Michael","7566","04/07/2025","Rally Public & Investor Relations LLC","13 Star Ridge Road","","North Salem","NY","10560"
"","04/02/2025","Giorno","Karen Rosalie","7565","04/02/2025","Earhart Turner LLC","300 New Jersey Avenue, NW Suite 300","","Washington","DC"," 20001"
"","04/02/2025","Ochs","Nicholas Robert","7565","04/02/2025","Earhart Turner LLC","300 New Jersey Avenue, NW Suite 300","","Washington","DC"," 20001"
"","04/02/2025","Sheikh","Hassan Abbas","7565","04/02/2025","Earhart Turner LLC","300 New Jersey Avenue, NW Suite 300","","Washington","DC"," 20001"
"","04/02/2025","Yiannopoulos","Milo A.","7565","04/02/2025","Earhart Turner LLC","300 New Jersey Avenue, NW Suite 300","","Washington","DC"," 20001"
"06/17/2025","04/02/2025","Sampson","Aaron","7564","04/02/2025","Asterix LLC","3416 Rittenhouse Street, NW","","Washington","DC","20015"
"","05/02/2025","Trujillo","Carlos","7563","04/01/2025","Bosnian American Alliance Inc.","525 Junction Road",""," Madison","WI","53717"
"","04/01/2025","Pilakovic","Mirza","7563","04/01/2025","Bosnian American Alliance Inc.","525 Junction Road",""," Madison","WI","53717"
"","04/01/2025","Sehic","Almas","7563","04/01/2025","Bosnian American Alliance Inc.","525 Junction Road",""," Madison","WI","53717"
"","03/31/2025","Blagojevich","Rod","7562","03/31/2025","RRB Strategies LLC","2934 W. Sunnyside Avenue",""," Chicago","IL","60625"
"","03/27/2025","Jovicic","Dusko","7560","03/27/2025","Global Strategy Advisors LLC","8160 E Butherus Dr # 8","","Scottsdale","AZ","85260"
"","03/23/2025","Forni","Brian","7559","03/23/2025","Imperium Strategies LLC","2677 Avenir Place","APT 3310","Vienna","VA","22180"
"","03/22/2025","Miller","David","7558","03/22/2025","Kasowitz Benson Torres LLP","1633 Broadway","","New York","NY","10019"
"","03/22/2025","Fetterman","Daniel","7558","03/22/2025","Kasowitz Benson Torres LLP","1633 Broadway","","New York","NY","10019"
"","03/22/2025","Roberts","Joshua","7558","03/22/2025","Kasowitz Benson Torres LLP","1633 Broadway","","New York","NY","10019"
"","03/22/2025","Choi","Brian","7558","03/22/2025","Kasowitz Benson Torres LLP","1633 Broadway","","New York","NY","10019"
"","03/22/2025","Riddle","Clarine Nardi","7558","03/22/2025","Kasowitz Benson Torres LLP","1633 Broadway","","New York","NY","10019"
"","03/20/2025","Pressberg","Matthew Aaron","7557","03/20/2025","Pressberg Media Strategy LLC","5673 Regency Circle East","","Boca Raton","FL","33496"
"","03/17/2025","Bovim","Eric","7556","03/17/2025","ASG Corp.","1317 Kirby Road","","McLean","VA","22101"
"","03/11/2025","Mack","Connie","7555","03/11/2025","Liberty International Group LLC","8429 Lorraine Rd #368","","Lakewood Ranch","FL","34202"
"","03/11/2025","Short","Jason Michael","7554","03/11/2025","Rathmell Short LLP","1519 28th Street NW","","Washington","DC","20007"
"","03/11/2025","Curry","Timothy","7554","03/11/2025","Rathmell Short LLP","1519 28th Street NW","","Washington","DC","20007"
"","03/11/2025","Bourge","Christian","7554","03/11/2025","Rathmell Short LLP","1519 28th Street NW","","Washington","DC","20007"
"","03/11/2025","Stryk","Robert Daniel","7554","03/11/2025","Rathmell Short LLP","1519 28th Street NW","","Washington","DC","20007"
"","03/11/2025","Rathmell","Robin","7554","03/11/2025","Rathmell Short LLP","1519 28th Street NW","","Washington","DC","20007"
"","03/03/2025","Gorman","Matthew","7553","03/03/2025","Targeted Communications Global LLC","2311 Wilson Blvd. Floor 2","","Arlington","VA","22201"
"","03/03/2025","Schmitt","Brian Martin","7553","03/03/2025","Targeted Communications Global LLC","2311 Wilson Blvd. Floor 2","","Arlington","VA","22201"
"","04/25/2025","Lyons","Sarah Elisabeth","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","03/05/2025","Fox","Nicholas","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Barash","Daniel","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Nizri","Eran","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Kwittken","Aaron Renner","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Williams","Alexis","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Groman","Sean","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Koops Jr.","Gary","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Gordon-Miller","Lisa","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Knapp","William","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
"","02/28/2025","Zuckman","Jill","7552","02/28/2025","SKDKnickerbocker LLC","1150 18th Street NW, Suite 800","","Washington","DC","20036"
