"Country/LocationRepresented","Foreign Principal","Foreign PrincipalRegistration Date","Address","State","Registrant","Registration #","RegistrationDate"
"IRELAND","Irish Development Authority, Irish Government Body","07/10/1964","Three Park PlaceHatch Street UpperDublin 2&nbsp;&nbsp;","","IDA Ireland","1770","07/10/1964"
"ALGERIA","The Movement for Self-Determination for Kabylia","06/26/2023","40 Rue de Montmorency   Paris&nbsp;&nbsp;","","Myers, Elisabeth","7287","06/26/2023"
"COTE D'IVOIRE (IVORY COAST)","Government of Cote d'Ivoire","03/27/2024","2424 Massachusetts AvenueWashington&nbsp;&nbsp;20008","DC","Lenape Legal Ltd","7388","03/27/2024"
"MALI","Malian Government","03/27/2024","2130 R Street NWWashington&nbsp;&nbsp;20008","DC","Lenape Legal Ltd","7388","03/27/2024"
"NIGERIA","Government of Nigeria","03/27/2024","3519 International Court NW Washington&nbsp;&nbsp;20008","DC","Lenape Legal Ltd","7388","03/27/2024"
"GREAT BRITAIN","British Tourist Authority","07/07/1949","London&nbsp;&nbsp;","","VisitBritain","579","07/07/1949"
"GREAT BRITAIN","Visit Wales","05/03/2018","&nbsp;&nbsp;","","VisitBritain","579","07/07/1949"
"CANADA","Global Centre for Pluralism","09/13/2023","330 Sussex Dr.  Ottawa, ON&nbsp;&nbsp;","","Pantano Media & Marketing","7323","09/13/2023"
"JAPAN","The Japanese Conservative Union","11/26/2024","Ginza Otake-Bijidensu 2F, 1-22-11, Ginza, Chuo-kuTokyo&nbsp;&nbsp;","","Schneider, Daniel","7495","11/26/2024"
"MICRONESIA","Office of the President: ODA & Compact Management","07/12/2023","PO Box 2178 Palikir &nbsp;&nbsp;","","Brazys, Samuel","7293","07/12/2023"
"NIGERIA","Foundation for Sustainable Social Responsibility in Emerging Africa","10/16/2024","20 chukwuemeka ezeife, Close, zone d apo legislative quartersAbuja&nbsp;&nbsp;","","Wagner, Daniel","7474","10/16/2024"
"CONGO DEMOCRATIC REPUBLIC OF THE","Ministry of Communication and Medias of the Democratic Republic of Congo","03/18/2022","83 Avenue Tabu-LeyKinshasa&nbsp;&nbsp;","","Ballard Partners","7070","01/13/2022"
"JAPAN","Embassy of Japan","04/14/2023","2520 Massachusetts Ave, NW Washington&nbsp;&nbsp;20008","DC","Ballard Partners","7070","01/13/2022"
"SUDAN","Embassy of the Republic of Sudan","10/30/2024","2210 Massachusetts Avenue Washington&nbsp;&nbsp;20008","DC","Ballard Partners","7070","01/13/2022"
"LIBYA","Libyan Parliament","10/10/2023","5502 Parkston RoadBethesda&nbsp;&nbsp;20816","MD","The Vogel Group, LLC","7332","10/10/2023"
"INDIA","Rishabh Sharma","06/20/2023","Torre Chapultepec, Av. Paseo de la Reforma 509 Piso 16 Col. Chapultep CDMEX CP&nbsp;&nbsp;","","Vega Jr., Luis Angel","7286","06/20/2023"
"FINLAND","Business Finland Oy","12/10/2024","Porkkalankatu 1Helsinki&nbsp;&nbsp;","","Thatcher & Company, Inc.","7497","12/10/2024"
"SAUDI ARABIA","Kingdom of Saudi Arabia","03/06/2002","601 New Hampshire Avenue, N.W.&nbsp;&nbsp;","DC","QORVIS LLC","5483","03/06/2002"
"EQUATORIAL GUINEA","Republic of Equatorial  Guinea","08/16/2009","Malabo&nbsp;&nbsp;","","QORVIS LLC","5483","03/06/2002"
"SAUDI ARABIA","King Salman Humanitarian Aid & Relief Center","04/01/2019","PO Box 88830Riyadh, 11672&nbsp;&nbsp;","","QORVIS LLC","5483","03/06/2002"
"CAMBODIA","Royal Embassy of Cambodia to the United States","09/17/2021","4530 16th Street NWWashington&nbsp;&nbsp;20011","DC","QORVIS LLC","5483","03/06/2002"
"KOREA SOUTH","Embassy of the Republic of Korea to the United States","10/13/2022","2450 Massachusetts Avenue NWWashington&nbsp;&nbsp;20008","DC","QORVIS LLC","5483","03/06/2002"
"MOLDOVA","Vasile Tarlev","09/30/2024","Mitropolitan Dosmoftei Street, 102-40 City of Chi¿inau &nbsp;&nbsp;","","QORVIS LLC","5483","03/06/2002"
"UKRAINE","""Ukrainian PR Army""","04/11/2022","c/o PLUS Communications, LLC3001 Washington Blvd., 7th FloorArlington&nbsp;&nbsp;22201","VA","PLUS Communications, LLC","7107","04/11/2022"
"UKRAINE","Stand With Ukraine","09/20/2024","22 St Clair Ave E, Suite 1500  Toronto, Ontario&nbsp;&nbsp;","","PLUS Communications, LLC","7107","04/11/2022"
"KUWAIT","Agility Public Warehousing Company KSCP","08/02/2023","P.O. Box 25418 Safat&nbsp;&nbsp;","","Quinn Emanuel Urquhart & Sullivan, LLP","7303","08/02/2023"
"HAITI","Republic of Haiti","02/24/2025","GMV6+6CQPort-Au-Prince&nbsp;&nbsp;","","Continental Strategy LLC","7545","02/24/2025"
"DOMINICAN REPUBLIC","El Departamento Nacional de Investigaciones de la Republica Dominicana","02/24/2025","Calle Moises Garcia #6, esq. Julio VerneSanto Domingo&nbsp;&nbsp;","","Continental Strategy LLC","7545","02/24/2025"
"GUYANA","Ministry of Foreign Affairs - Co-operative Republic of Guyana","02/24/2025","254 South Road & Shiv Chanderpaul Drive Georgetown &nbsp;&nbsp;","","Continental Strategy LLC","7545","02/24/2025"
"GEORGIA","Reformatics FCZ","03/13/2025","Sharjha, Saifi Zone Saifi Desk 01-26-039/B P.O. BoxSharjha&nbsp;&nbsp;","","Continental Strategy LLC","7545","02/24/2025"
"ISRAEL","Israel Ministry of Foreign Affairs","03/03/2025","Yitzhak Rabin Boulevard Jerusalem&nbsp;&nbsp;","","Targeted Communications Global LLC","7553","03/03/2025"
"DOMINICAN REPUBLIC","Donald Guerrero, former Finance Minister of the Dominican Republic, through Axis Holding LLC","05/17/2023","1086 Ave Munoz Rivera, PR  San Juan&nbsp;&nbsp;","","DCI Group AZ, LLC","6278","03/03/2015"
"UKRAINE","Kyiv Global Outreach","03/07/2024","Volodymyra Vinnichencko StreetBuilding 7, Office 9Kyiv&nbsp;&nbsp;","","DCI Group AZ, LLC","6278","03/03/2015"
"INTERNATIONAL","Delegation of the European Union to the USA","11/01/2024","175 K Street NW  Washington&nbsp;&nbsp;20037","DC","DCI Group AZ, LLC","6278","03/03/2015"
"MAURITIUS","Government of Mauritius","05/29/2019","Mauritius Mission to the UN211 East 43rd Street 22nd FloorNew York&nbsp;&nbsp;10017","NY","McLarty Inbound, LLC","6686","05/29/2019"
"HONDURAS","Elvin Ernesto Santos Ordonez","03/27/2024","9na Calle Final Ave, Col Miramontes Edificio SantosTegucigalpa&nbsp;&nbsp;","","Dalton, Danny","7390","03/27/2024"
"BERMUDA","David Burt","05/19/2024","105 Front Street  Hamilton&nbsp;&nbsp;","","Schweitzer, William","7412","05/19/2024"
"CONGO DEMOCRATIC REPUBLIC OF THE","Thierry Katembwe Mbala","06/12/2024","Hotel du Government / PrimatureGombe Kinshasa&nbsp;&nbsp;","","Poynton, Aaron Sean","7420","06/12/2024"
"CONGO DEMOCRATIC REPUBLIC OF THE","Patrice Majondo Mwamba","11/22/2024","Ave Marinel #1c Kinshasa&nbsp;&nbsp;","","Poynton, Aaron Sean","7420","06/12/2024"
"CONGO REPUBLIC OF THE","Pierre Kanda Kalambayi","02/20/2025","Senat, Palais du Peuple, Coin avenue des Huileres et boulevard Triomphal, C Kinshasa, Kinshasa&nbsp;&nbsp;","","Poynton, Aaron Sean","7420","06/12/2024"
"UNITED KINGDOM","Coalition for Global Prosperity","11/09/2023","1 Horse Guards Avenue   London&nbsp;&nbsp;","","Imperial Independent Media LLC","7344","11/09/2023"
"ICELAND","Sjalfstaeoifflokkurinn","03/30/2025","Haaleitisbraut 1105 Reykjavik&nbsp;&nbsp;","","Imperial Independent Media LLC","7344","11/09/2023"
"MARSHALL ISLANDS","Kili/Bikini/Ejit Local Government Council","10/29/2024","P.O. Box 3131 Majuro&nbsp;&nbsp;","","Weisgall, Jonathan M.","7484","10/29/2024"
"HONG KONG","Government of Hong Kong","10/29/1968","&nbsp;&nbsp;","","Hong Kong Tourism Board","2110","10/29/1968"
"UNITED ARAB EMIRATES","Emirate of Ras Al Khaimah","04/08/2013","P.O. Box 5130Ras Al Khaimah&nbsp;&nbsp;","","KARV Communications, Inc.","6162","04/08/2013"
"SAUDI ARABIA","NEOM (through Richard Attias and Associates Saudi for Organization of Exhibitions Co.)","04/11/2023","RDC Complex, Building CS01, 4th Floor, Unit 9, 3884 Al Imam Saud Ibn Abdul Aziz Branch Road Al Nakhi&nbsp;&nbsp;","","KARV Communications, Inc.","6162","04/08/2013"
"SERBIA","Government of the Republic of Serbia","07/21/2023","1333 16th Street, NW Washington&nbsp;&nbsp;20036","DC","KARV Communications, Inc.","6162","04/08/2013"
