"Country/LocationRepresented","Registrant","Registration #","RegistrationDate","Address","State","Foreign Principal","Foreign PrincipalRegistration Date"
"IRELAND","IDA Ireland","1770","07/10/1964","345 Park Avenue17th FloorNew York&nbsp;&nbsp;10154","NY","Irish Development Authority, Irish Government Body","07/10/1964"
"ALGERIA","Myers, Elisabeth","7287","06/26/2023","Residence La Carrelle, Imm. 5, Appt. 20, Marrakech&nbsp;&nbsp;","","The Movement for Self-Determination for Kabylia","06/26/2023"
"COTE D'IVOIRE (IVORY COAST)","Lenape Legal Ltd","7388","03/27/2024","406 Lloyd AvenueDownington&nbsp;&nbsp;19335","PA","Government of Cote d'Ivoire","03/27/2024"
"MALI","Lenape Legal Ltd","7388","03/27/2024","406 Lloyd AvenueDownington&nbsp;&nbsp;19335","PA","Malian Government","03/27/2024"
"NIGERIA","Lenape Legal Ltd","7388","03/27/2024","406 Lloyd AvenueDownington&nbsp;&nbsp;19335","PA","Government of Nigeria","03/27/2024"
"GREAT BRITAIN","VisitBritain","579","07/07/1949","885 Second Avenue28th FloorNew York&nbsp;&nbsp;10017","NY","British Tourist Authority","07/07/1949"
"GREAT BRITAIN","VisitBritain","579","07/07/1949","885 Second Avenue28th FloorNew York&nbsp;&nbsp;10017","NY","Visit Wales","05/03/2018"
"CANADA","Pantano Media & Marketing","7323","09/13/2023","34 Gettysburg WayLincoln Park&nbsp;&nbsp;07035","NJ","Global Centre for Pluralism","09/13/2023"
"JAPAN","Schneider, Daniel","7495","11/26/2024","1771 N Pierce StreetArlington&nbsp;&nbsp;22209","VA","The Japanese Conservative Union","11/26/2024"
"MICRONESIA","Brazys, Samuel","7293","07/12/2023","S70 W15258 Honeysuckle CircleMuskego&nbsp;&nbsp;53150","WI","Office of the President: ODA & Compact Management","07/12/2023"
"NIGERIA","Wagner, Daniel","7474","10/16/2024","1126 Cascara Loop S Salem&nbsp;&nbsp;97302","OR","Foundation for Sustainable Social Responsibility in Emerging Africa","10/16/2024"
"CONGO DEMOCRATIC REPUBLIC OF THE","Ballard Partners","7070","01/13/2022","601 Thirteenth Street, NW Suite 250 SWashington&nbsp;&nbsp;20005","DC","Ministry of Communication and Medias of the Democratic Republic of Congo","03/18/2022"
"JAPAN","Ballard Partners","7070","01/13/2022","601 Thirteenth Street, NW Suite 250 SWashington&nbsp;&nbsp;20005","DC","Embassy of Japan","04/14/2023"
"SUDAN","Ballard Partners","7070","01/13/2022","601 Thirteenth Street, NW Suite 250 SWashington&nbsp;&nbsp;20005","DC","Embassy of the Republic of Sudan","10/30/2024"
"LIBYA","The Vogel Group, LLC","7332","10/10/2023","2445 M Street Northwest Suite 643Washington&nbsp;&nbsp;20037","DC","Libyan Parliament","10/10/2023"
"INDIA","Vega Jr., Luis Angel","7286","06/20/2023","1300 Pennsylvania Ave NW, Suite 700Washington&nbsp;&nbsp;20004","DC","Rishabh Sharma","06/20/2023"
"FINLAND","Thatcher & Company, Inc.","7497","12/10/2024","1501 Broadway, Floor 27New York&nbsp;&nbsp;10036","NY","Business Finland Oy","12/10/2024"
"SAUDI ARABIA","QORVIS LLC","5483","03/06/2002","529 14th Sreet, NWSuite 1101Washington&nbsp;&nbsp;20045","DC","Kingdom of Saudi Arabia","03/06/2002"
"EQUATORIAL GUINEA","QORVIS LLC","5483","03/06/2002","529 14th Sreet, NWSuite 1101Washington&nbsp;&nbsp;20045","DC","Republic of Equatorial  Guinea","08/16/2009"
"SAUDI ARABIA","QORVIS LLC","5483","03/06/2002","529 14th Sreet, NWSuite 1101Washington&nbsp;&nbsp;20045","DC","King Salman Humanitarian Aid & Relief Center","04/01/2019"
"CAMBODIA","QORVIS LLC","5483","03/06/2002","529 14th Sreet, NWSuite 1101Washington&nbsp;&nbsp;20045","DC","Royal Embassy of Cambodia to the United States","09/17/2021"
"KOREA SOUTH","QORVIS LLC","5483","03/06/2002","529 14th Sreet, NWSuite 1101Washington&nbsp;&nbsp;20045","DC","Embassy of the Republic of Korea to the United States","10/13/2022"
"MOLDOVA","QORVIS LLC","5483","03/06/2002","529 14th Sreet, NWSuite 1101Washington&nbsp;&nbsp;20045","DC","Vasile Tarlev","09/30/2024"
"UKRAINE","PLUS Communications, LLC","7107","04/11/2022","3001 Washington Boulevard7th FloorArlington&nbsp;&nbsp;22201","VA","""Ukrainian PR Army""","04/11/2022"
"UKRAINE","PLUS Communications, LLC","7107","04/11/2022","3001 Washington Boulevard7th FloorArlington&nbsp;&nbsp;22201","VA","Stand With Ukraine","09/20/2024"
"KUWAIT","Quinn Emanuel Urquhart & Sullivan, LLP","7303","08/02/2023","865 South Figueroa Street10th Floor Los Angeles&nbsp;&nbsp;90017","CA","Agility Public Warehousing Company KSCP","08/02/2023"
"HAITI","Continental Strategy LLC","7545","02/24/2025","1747 Pennsylvania Ave. NW Suite 875Washington&nbsp;&nbsp;20006","DC","Republic of Haiti","02/24/2025"
"DOMINICAN REPUBLIC","Continental Strategy LLC","7545","02/24/2025","1747 Pennsylvania Ave. NW Suite 875Washington&nbsp;&nbsp;20006","DC","El Departamento Nacional de Investigaciones de la Republica Dominicana","02/24/2025"
"GUYANA","Continental Strategy LLC","7545","02/24/2025","1747 Pennsylvania Ave. NW Suite 875Washington&nbsp;&nbsp;20006","DC","Ministry of Foreign Affairs - Co-operative Republic of Guyana","02/24/2025"
"GEORGIA","Continental Strategy LLC","7545","02/24/2025","1747 Pennsylvania Ave. NW Suite 875Washington&nbsp;&nbsp;20006","DC","Reformatics FCZ","03/13/2025"
"ISRAEL","Targeted Communications Global LLC","7553","03/03/2025","2311 Wilson Blvd. Floor 2Arlington&nbsp;&nbsp;22201","VA","Israel Ministry of Foreign Affairs","03/03/2025"
"DOMINICAN REPUBLIC","DCI Group AZ, LLC","6278","03/03/2015","2000 K Street NWSuite 900Washington&nbsp;&nbsp;20006","DC","Donald Guerrero, former Finance Minister of the Dominican Republic, through Axis Holding LLC","05/17/2023"
"UKRAINE","DCI Group AZ, LLC","6278","03/03/2015","2000 K Street NWSuite 900Washington&nbsp;&nbsp;20006","DC","Kyiv Global Outreach","03/07/2024"
"INTERNATIONAL","DCI Group AZ, LLC","6278","03/03/2015","2000 K Street NWSuite 900Washington&nbsp;&nbsp;20006","DC","Delegation of the European Union to the USA","11/01/2024"
"MAURITIUS","McLarty Inbound, LLC","6686","05/29/2019","900 17th Street, NWSuite 800Washington&nbsp;&nbsp;20006","DC","Government of Mauritius","05/29/2019"
"HONDURAS","Dalton, Danny","7390","03/27/2024","31 W Marginal RdBrunswick&nbsp;&nbsp;04011","ME","Elvin Ernesto Santos Ordonez","03/27/2024"
"BERMUDA","Schweitzer, William","7412","05/19/2024","355 South End Avenue, 31FNew York&nbsp;&nbsp;10280","NY","David Burt","05/19/2024"
"CONGO DEMOCRATIC REPUBLIC OF THE","Poynton, Aaron Sean","7420","06/12/2024","1408 Stockton RoadJoppa&nbsp;&nbsp;21085","MD","Thierry Katembwe Mbala","06/12/2024"
"CONGO DEMOCRATIC REPUBLIC OF THE","Poynton, Aaron Sean","7420","06/12/2024","1408 Stockton RoadJoppa&nbsp;&nbsp;21085","MD","Patrice Majondo Mwamba","11/22/2024"
"CONGO REPUBLIC OF THE","Poynton, Aaron Sean","7420","06/12/2024","1408 Stockton RoadJoppa&nbsp;&nbsp;21085","MD","Pierre Kanda Kalambayi","02/20/2025"
"UNITED KINGDOM","Imperial Independent Media LLC","7344","11/09/2023","5741 Bending Chestnut RoadFranklin&nbsp;&nbsp; 37064","TN","Coalition for Global Prosperity","11/09/2023"
"ICELAND","Imperial Independent Media LLC","7344","11/09/2023","5741 Bending Chestnut RoadFranklin&nbsp;&nbsp; 37064","TN","Sjalfstaeoifflokkurinn","03/30/2025"
"MARSHALL ISLANDS","Weisgall, Jonathan M.","7484","10/29/2024","401 9th Street, NW Suite 510Washington&nbsp;&nbsp;20004","DC","Kili/Bikini/Ejit Local Government Council","10/29/2024"
"HONG KONG","Hong Kong Tourism Board","2110","10/29/1968","5901 W CENTURY BLVD. SUITE 650Los Angeles&nbsp;&nbsp;90045","CA","Government of Hong Kong","10/29/1968"
"UNITED ARAB EMIRATES","KARV Communications, Inc.","6162","04/08/2013","370 Lexington Avenue Suite 2001New York&nbsp;&nbsp;10017","NY","Emirate of Ras Al Khaimah","04/08/2013"
"SAUDI ARABIA","KARV Communications, Inc.","6162","04/08/2013","370 Lexington Avenue Suite 2001New York&nbsp;&nbsp;10017","NY","NEOM (through Richard Attias and Associates Saudi for Organization of Exhibitions Co.)","04/11/2023"
"SERBIA","KARV Communications, Inc.","6162","04/08/2013","370 Lexington Avenue Suite 2001New York&nbsp;&nbsp;10017","NY","Government of the Republic of Serbia","07/21/2023"
"HONG KONG","Venable, LLP","5931","04/17/2009","600 Massachusetts Ave, NWWashington&nbsp;&nbsp;20001","DC","Hong Kong Trade Development Council","06/02/2009"
"QATAR","Venable, LLP","5931","04/17/2009","600 Massachusetts Ave, NWWashington&nbsp;&nbsp;20001","DC","Embassy of the State of Qatar","02/05/2018"
"UNITED ARAB EMIRATES","Camstoll Group, LLC","6144","12/10/2012","1112 Montana Avenue#904Santa Monica&nbsp;&nbsp;90403","CA","Outlook Energy Investments, LLC (wholly owned by the Emirate of Abu Dhabi)","12/10/2012"
"JAPAN","Gilbert, Harrell, Sumerford & Martin","7155","08/11/2022","777 Gloucester StreetSuite 200Brunswick&nbsp;&nbsp;31520","GA","Consulate General of Japan in Atlanta","08/11/2022"
"IRAQ","USA SOUTH BRIDGE LOGISTICS INC","7359","01/09/2024","427 W Douglas Avenue EL CAJON&nbsp;&nbsp;92020","CA","Dr. Firas Daham","01/09/2024"
"BERMUDA","Miles Partnership, LLLP","7382","03/11/2024","6751 Professional Pkwy, Suite 200Sarasota&nbsp;&nbsp; 34240","FL","Bermuda Tourism Authority","03/11/2024"
"MEXICO","Miles Partnership, LLLP","7382","03/11/2024","6751 Professional Pkwy, Suite 200Sarasota&nbsp;&nbsp; 34240","FL","Los Cabos Tourism Trust","03/11/2024"
"FRENCH POLYNESIA","Miles Partnership, LLLP","7382","03/11/2024","6751 Professional Pkwy, Suite 200Sarasota&nbsp;&nbsp; 34240","FL","Tahiti Tourisme","03/11/2024"
"SPAIN","Miles Partnership, LLLP","7382","03/11/2024","6751 Professional Pkwy, Suite 200Sarasota&nbsp;&nbsp; 34240","FL","IFEMA MADRID","03/11/2024"
"MARSHALL ISLANDS","International Registries, Inc.","4533","07/01/1991","11495 Commerce Park DriveReston&nbsp;&nbsp;20191-1506","VA","Republic of the Marshall Islands","07/01/1991"
"NORTHERN IRELAND","Invest Northern Ireland","4364","04/13/1990","545 Boylston Street Suite 300Boston&nbsp;&nbsp;02116","MA","Invest Northern Ireland","04/13/1990"
"SAHARAWI ARAB DEMOCRATIC REPUBLIC","Independent Diplomat, Inc.","5860","04/03/2008","246 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Government of the Sahrawi Arab Democratic Republic","04/03/2008"
"MARSHALL ISLANDS","Independent Diplomat, Inc.","5860","04/03/2008","246 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Mission of the Republic of the Marshall Islands to the United Nations","11/30/2011"
"MALI","Independent Diplomat, Inc.","5860","04/03/2008","246 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Coordination of the Movements of the Azawad (CMA)","10/30/2017"
"YEMEN","Independent Diplomat, Inc.","5860","04/03/2008","246 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Southern Transitional Council (STC)","11/15/2019"
"UKRAINE","Independent Diplomat, Inc.","5860","04/03/2008","246 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Mission of the President of Ukraine in the Autonomous Republic of Crimea","06/26/2023"
"UKRAINE","Independent Diplomat, Inc.","5860","04/03/2008","246 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Economic Security Council of Ukraine (ESCU)","11/30/2023"
"MYANMAR (BURMA)","Independent Diplomat, Inc.","5860","04/03/2008","246 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Arakan Rohingya National Alliance (ARNA)","10/21/2024"
"IRAN","Robert G. Joseph","6626","01/08/2019","301 South Saint Asaph StreetAlexandria&nbsp;&nbsp;22314","VA","National Council of Resistance of Iran","01/08/2019"
"JAMAICA","Walker-Huntington, Dahlia Ann","7172","09/27/2022","261 N University DriveSuite 500-13Plantation&nbsp;&nbsp; 33324","FL","The People's National Party","09/27/2022"
"COTE D'IVOIRE (IVORY COAST)","Sheinkopf, Hank","7469","09/26/2024","755 W End Ave, 4ANew York&nbsp;&nbsp;10025","NY","Lansana Kouyate","09/26/2024"
"TURKEY","Saltzman & Evinch, PLLC","6842","06/29/2020","1310 19th Street, NW Washington&nbsp;&nbsp;20036","DC","Republic of Turkey","06/29/2020"
"CYPRUS","Manatos & Manatos (through the National Coordinated Effort of Hellenes - CEH)","6683","05/21/2019","1100 New Hampshire Avenue, NWWashington&nbsp;&nbsp;20037","DC","Government of the Republic of Cyprus","05/21/2019"
"GREECE","Manatos & Manatos (through the National Coordinated Effort of Hellenes - CEH)","6683","05/21/2019","1100 New Hampshire Avenue, NWWashington&nbsp;&nbsp;20037","DC","Hellenic Ministry of Foreign Affairs","12/05/2019"
"BULGARIA","Manatos & Manatos (through the National Coordinated Effort of Hellenes - CEH)","6683","05/21/2019","1100 New Hampshire Avenue, NWWashington&nbsp;&nbsp;20037","DC","Prodaljavame Promianata (PP)","12/29/2023"
"IRAQ","Chartwell Strategy Group, LLC","6518","02/02/2018","701 8th Street, NW, Suite 620Washington&nbsp;&nbsp;20001","DC","Kurdistan Regional Government","01/05/2024"
"PAKISTAN","Qureshi, Muhammad Safdar","7356","12/28/2023","39 South Central AvenueValley Stream&nbsp;&nbsp;11580","NY","Pakistan Peoples Party","12/28/2023"
