"Country/LocationRepresented","Registrant","Registration #","RegistrationDate","Address","State","Foreign Principal","Foreign PrincipalRegistration Date","Foreign PrincipalTermination Date"
"PHILIPPINES","McCarthy, Matthew E.","1132","04/17/1958","29 BroadwayNew York&nbsp;&nbsp;","NY","Republic of the Philippines","04/17/1958","10/18/1960"
"AZERBAIJAN","30 Point Strategies, LLC","6313","08/11/2015","7315 Wisconsin Avenue, Suite 606EBethesda&nbsp;&nbsp;20814","MD","State Oil Company of the Azerbaijan Republic (SOCAR)","08/11/2015","12/03/2015"
"EGYPT","Afridi, Angell & Pelletreau LLP","5231","02/04/1998","1025 Connecticut Avenue, N.W.Suite 904Washington&nbsp;&nbsp;20036","DC","Government of Egypt","07/09/1999","06/28/2002"
"JAPAN","Afridi, Angell & Pelletreau LLP","5231","02/04/1998","1025 Connecticut Avenue, N.W.Suite 904Washington&nbsp;&nbsp;20036","DC","Japan External Trade Organization","02/04/1998","06/28/2002"
"TUNISIA","Afridi, Angell & Pelletreau LLP","5231","02/04/1998","1025 Connecticut Avenue, N.W.Suite 904Washington&nbsp;&nbsp;20036","DC","Tunisian External Communication Agency (TECA)","11/23/1998","06/28/2002"
"JAMAICA","Ivan Bloch & Associates","965","07/30/1956","661 Park Building729 Southwest Alder StreetPortland&nbsp;&nbsp;","OR","Minister of Finance, Honorable N.N. Nethersole - Ministry of Finance - Jamacian Government","07/30/1956","01/31/1958"
"UKRAINE","Potomac International Partners, Inc.","6459","09/08/2017","119 Oronoco StreetSuite 101Alexandria&nbsp;&nbsp;22314","VA","Serhey Rybalka through Meadowood Management, LLC","09/08/2017","10/01/2017"
"UKRAINE","Potomac International Partners, Inc.","6459","09/08/2017","119 Oronoco StreetSuite 101Alexandria&nbsp;&nbsp;22314","VA","Mr. Valerii Babych through Medowood Management, LLC","03/19/2018","06/26/2018"
"TAIWAN","Potomac International Partners, Inc.","6459","09/08/2017","119 Oronoco StreetSuite 101Alexandria&nbsp;&nbsp;22314","VA","Republic of China (Taiwan)","03/24/2018","06/01/2021"
"ARUBA","Levy Advertising Associates, Inc.","2314","02/15/1972","1 Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Aruba Tourist Bureau","02/15/1972","11/30/1979"
"JAPAN","Anderson, Ervin Oscar","808","12/29/1953","1620 - 22nd Street, N.W.Washington&nbsp;&nbsp;","DC","Embassy of Japan","12/29/1953","11/04/1965"
"CANADA","MacNamara, Dr. John","3569","03/14/1984","503 Queen Street, EastSault Ste. MarieOntario&nbsp;&nbsp;","","Algoma Steel Corporation, Ltd.","03/14/1984","02/27/1990"
"SWAZILAND","Ryberg and Smith, LLP","5433","05/18/2001","1054 Thirty-First Street, N.W.Suite 300Washington&nbsp;&nbsp;20007","DC","Ministry of Justice and Ministry of Foreign Affairs & Trade Government of the Kingdom of Swaziland","05/18/2001","09/30/2001"
"SWITZERLAND","Rancourt, Karolyn T.","5559","05/02/2003","1648 South Orkney StreetPhiladelphia&nbsp;&nbsp;19148","PA","Development Economic Western Switzerland","05/02/2003","05/16/2008"
"IRELAND","Oliver-Beckman, Inc.","2009","03/01/1967","Post Office Box 676New York&nbsp;&nbsp;10021","NY","Government of Northern Ireland","09/14/1970","03/03/1981"
"EL SALVADOR","Oliver-Beckman, Inc.","2009","03/01/1967","Post Office Box 676New York&nbsp;&nbsp;10021","NY","Tourist Institute of El Salvador (ISTU)","03/01/1967","04/10/1970"
"NAMIBIA","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Cultura 2000","10/23/1992","08/31/1992"
"SPAIN","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Franklin, S.A.","10/30/1991","04/30/1990"
"EGYPT","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Government of Egypt","02/16/1983","10/01/1987"
"PANAMA","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","National Civic Crusade for Panama","07/01/1987","09/01/1987"
"HONDURAS","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Partido Nacional de Honduras","11/21/1989","09/17/1992"
"ITALY","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Partido Repubblicano Italiano","10/30/1991","09/30/1991"
"HONDURAS","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Rafael Leanardo Callejas","10/30/1991","10/31/1991"
"CYPRUS","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Turkish Republic of Northern Cyprus","06/04/1985","12/31/1987"
"GUATEMALA","Susan Davis International & Public Affairs","3444","02/16/1983","1146 - 19th Street, N.W.Suite 700Washington&nbsp;&nbsp;20036","DC","Union del Centro Nacional","10/30/1991","01/31/1991"
"LEBANON","Lebanon Tourist & Information Office","2419","05/01/1973","405 Park AvenueNew York&nbsp;&nbsp;10022","NY","National Council of Tourism in the Lebanon","05/01/1973","05/21/1984"
"MALTA","Connor, Geoffrey S.","5736","03/08/2006","1404 Wilson StreetBastrop&nbsp;&nbsp;78602","TX","Republic of Malta","03/08/2006","09/30/2007"
"CHINA","Morby, Jeffrey L.","5282","10/23/1998","116 Woodland RoadOne Oxford Centre,  Suite 4260Pittsburgh&nbsp;&nbsp;15219","PA","Wuhan Municipal Government","10/23/1998","04/30/1999"
"FRANCE","Foley & Statt","318","08/31/1945","80 Broad StreetNew York&nbsp;&nbsp;","NY","Air France Societe Anonyme","10/17/1946","08/31/1947"
"FRANCE","Foley & Statt","318","08/31/1945","80 Broad StreetNew York&nbsp;&nbsp;","NY","Compagnie General Transatlantique","08/31/1945","08/31/1947"
"FRANCE","Foley & Statt","318","08/31/1945","80 Broad StreetNew York&nbsp;&nbsp;","NY","French Line, Inc.","08/31/1945","08/31/1947"
"FRANCE","Foley & Statt","318","08/31/1945","80 Broad StreetNew York&nbsp;&nbsp;","NY","French National Railroads","10/17/1946","08/31/1947"
"FRANCE","Foley & Statt","318","08/31/1945","80 Broad StreetNew York&nbsp;&nbsp;","NY","French Tobacco Commissioner (Republic Francaise, Service d'Exploitation Industrielle des Tabacs et Allumettes)","10/17/1946","08/31/1947"
"FRANCE","Foley & Statt","318","08/31/1945","80 Broad StreetNew York&nbsp;&nbsp;","NY","Provisional Government of the Republic of France","08/31/1945","08/31/1947"
"LIECHTENSTEIN","Brennan & Brennan Communications, Inc.","3621","10/18/1984","260 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Bank of Liechtenstein","04/03/1985","04/15/1987"
"LIECHTENSTEIN","Brennan & Brennan Communications, Inc.","3621","10/18/1984","260 Fifth AvenueNew York&nbsp;&nbsp;10001","NY","Principality of Liechtenstein","10/18/1984","12/31/1984"
"NIGERIA","Levick Strategic Communications, LP","6228","06/25/2014","1900 M Street, NW4th FloorWashington&nbsp;&nbsp;20036","DC","Nan Bizcom, Ltd","06/25/2014","05/28/2015"
"SRI LANKA","Levick Strategic Communications, LP","6228","06/25/2014","1900 M Street, NW4th FloorWashington&nbsp;&nbsp;20036","DC","Central Bank of Sri Lanka thru Liberty International Group, LLC","10/20/2014","05/04/2015"
"QATAR","Levick Strategic Communications, LP","6228","06/25/2014","1900 M Street, NW4th FloorWashington&nbsp;&nbsp;20036","DC","Government Communications Office (GCO) of the State of Qatar","01/05/2015","08/15/2018"
"HUNGARY","Levick Strategic Communications, LP","6228","06/25/2014","1900 M Street, NW4th FloorWashington&nbsp;&nbsp;20036","DC","Government of Hungary, Prime Minister's Office (thru SLI Group, LLC)","02/04/2015","04/01/2016"
