"Registrant","Registration #","RegistrationDate","TerminationDate"
"""ANTARA"" National News Agency Institute","1674","12/19/1963","08/12/1970"
"11:11 Incorporated D/B/A 11:11 Global Incorporated","6968","06/02/2021","06/02/2021"
"155 Strategies, LLC","6547","04/26/2018","10/29/2019"
"23rd Street Berk, LLC","7350","12/06/2023","06/05/2024"
"30 Point Strategies, LLC","6313","08/11/2015","12/03/2015"
"30 Point Strategies, LLC","5884","10/06/2008","10/01/2013"
"35 Nord","7194","11/23/2022",""
"42West, LLC","6680","05/18/2019","10/17/2019"
"42West, LLC","5899","12/11/2008","12/11/2008"
"42West, LLC","6156","03/07/2013","06/30/2013"
"45 Group","6432","05/19/2017","08/31/2017"
"5W Public Relations, LLC","6434","05/25/2017","10/29/2017"
"5W Public Relations, LLC","6109","06/13/2012","09/08/2012"
"5W Public Relations, LLC","7118","05/12/2022",""
"5W Public Relations, LLC","5561","05/19/2003","11/30/2004"
"A.F. Sabo Associates, Inc.","3115","06/27/1980","11/07/1989"
"A.F. Sabo Associates, Public Relations Counsellors","2508","04/10/1974","09/28/1978"
"A.H.W. Advertising, Inc.","3545","01/05/1984","04/04/1986"
"A.I.H. International, Inc.","3674","05/02/1985","09/23/1987"
"A.I.T. Corporation","3228","04/15/1981","12/31/1987"
"A.J. Lazarus Associates, Inc.","3033","06/21/1979","06/22/1980"
"A.K. Associates, Inc.","3782","02/04/1986","12/16/1986"
"A.M.K. Berlin","3455","03/31/1983","12/31/1988"
"A.R. Busse & Associates, Inc.","3441","02/11/1983","07/25/1984"
"A.R. Busse & Associates, Inc.","3406","08/31/1982","09/25/1982"
"A.R. Busse & Associates, Inc.","2408","02/21/1973","01/04/1979"
"A.S. Nemir Associates","1524","03/09/1962","04/21/1986"
"A.T. Kearney, Inc.","7439","08/08/2024",""
"A.W.W. Advertising","3416","10/08/1982","04/03/1985"
"AA Access Partnership Pte Ltd","7448","08/23/2024",""
"AB&C Philadelphia, LLC","6043","05/24/2011","07/31/2014"
"ABD Communications, Inc.","5277","09/29/1998","09/29/1998"
"AC&R Advertising, Inc.","2585","05/27/1975","03/22/1976"
"AC&R Advertising, Inc.","3211","03/11/1981","03/11/1994"
"AC&R Public Relations","2431","06/12/1973","12/27/1985"
"ACG, LLC","5677","03/25/2005","03/31/2009"
"ACM Worldwide, Ltd.","5164","03/14/1997","12/01/1997"
"ACTS for Israel","2587","05/28/1975","09/05/1975"
"ADLAB, LLC","6916","01/25/2021","01/25/2021"
"ADV, Inc.","2942","08/09/1978","12/31/1979"
"AE Agritrade","6016","01/14/2011","07/14/2011"
"AEA Washington, Ltd.","4307","10/16/1989","05/27/1994"
"AEGIS Group, Ltd.","4373","05/03/1990","05/26/1993"
"AEGIS Insurance Services, Inc. (AISI)","3932","01/29/1987","07/29/1997"
"AF International, LLC","6639","02/18/2019",""
"AG Consulting Group, Inc.","5866","05/30/2008","05/01/2009"
"AGA Group, LLC","5600","02/13/2004","03/31/2011"
"AH5 Ventures LLC","6848","08/05/2020","02/28/2022"
"AK Party Representation to the United States LLC","7115","05/11/2022",""
"AMBAL LLC","7291","07/03/2023",""
"AMRU International Trading Corporation","4405","08/08/1990","08/03/1993"
"AMWPR, Inc.","7190","11/11/2022","06/01/2023"
"AMWPR, Inc.","7514","01/06/2025",""
"ANC-Global, Inc.","6731","10/02/2019","10/31/2023"
"AND Partners LLC","7377","03/01/2024","09/30/2024"
"APCO Associates","3597","06/20/1984","10/01/1991"
"APCO Worldwide LLC","6582","08/22/2018",""
"APCO Worldwide, Inc.","6184","09/05/2013","05/30/2014"
"APCO Worldwide, Inc.","4561","09/03/1991","12/31/2011"
"APCO Worldwide, Inc.","6291","04/28/2015","04/30/2018"
"AR&H Advertising, Inc.","2355","07/17/1972","07/31/1978"
"AR&H Advertising, Inc.","3168","08/11/1980","11/20/1980"
"AR&H Advertising, Inc.","3138","08/11/1980","09/06/1983"
"ARRCO International, Ltd.","2747","01/19/1977","10/13/1978"
"ASEAN Promotional Chapter for Tourism - North America","2744","01/04/1977","01/04/2000"
"ASG Corp.","7556","03/17/2025",""
"ASL International, Inc.","4598","11/29/1991","02/28/1992"
"AUX Initiatives LLC","6580","08/06/2018","02/28/2019"
"AUX Initiatives, LLC","6238","08/04/2014","08/31/2015"
"AWS Services","5043","09/07/1995","03/31/2006"
"AZ Media PR Inc.","6868","09/10/2020","12/01/2022"
"Aaron D. Cushman & Associates, Inc.","2572","04/07/1975","04/07/1997"
"Aaron Poynton","7254","04/05/2023","04/26/2023"
"Abandelwa, Jacques","6950","04/28/2021",""
"Abbado, Francesco","4833","07/21/1993","01/31/1995"
"Abdeslem, Belkacem","1977","05/16/1966","06/06/1966"
"Abdulbaqi, Mahmoud M.","5607","02/23/2004","08/29/2004"
"Abdulla, Muhyeddin Rahim","4047","10/06/1987","10/06/1989"
"Abernathy MacGregor Group","5285","10/26/1998","10/30/2000"
"Abernathy MacGregor Group, Inc.","6647","03/13/2019","03/21/2019"
"Abernathy/MacGregor Group, Inc.","4834","12/11/1992","09/30/1997"
"Ablondi, Foster, Sobin & Davidow, P.C.","3235","05/04/1981","07/15/2001"
"About My Father's Business, Inc.","4285","09/05/1989","08/02/1993"
