"Country/LocationRepresented","Foreign Principal","Foreign PrincipalRegistration Date","Foreign PrincipalTermination Date","Address","State","Registrant","Registration #","RegistrationDate","TerminationDate"
"FRANCE","Agence Teleradio","09/14/1942","11/09/1942","Vichy&nbsp;&nbsp;","","Estrangin, Gustave Fritsch","1","09/14/1942","11/09/1942"
"AUSTRALIA","Associated Distributors Party, Ltd.","07/03/1942","07/03/1943","Sydney&nbsp;&nbsp;","","Auten, Harold","4","07/03/1942","07/03/1943"
"NEW ZEALAND","British Empire Films (N.Z.), Ltd.","07/03/1942","07/03/1943","Wellington&nbsp;&nbsp;","","Auten, Harold","4","07/03/1942","07/03/1943"
"AUSTRALIA","British Empire Films Party, Ltd., Australia","07/03/1942","07/03/1943","Sydney&nbsp;&nbsp;","","Auten, Harold","4","07/03/1942","07/03/1943"
"GREAT BRITAIN","British Empire Films Party, Ltd., England","07/03/1942","07/03/1943","London, England&nbsp;&nbsp;","","Auten, Harold","4","07/03/1942","07/03/1943"
"AUSTRALIA","Cinesound Productions Party, Ltd.","07/03/1942","07/03/1943","&nbsp;&nbsp;","","Auten, Harold","4","07/03/1942","07/03/1943"
"AUSTRALIA","Greater Union Theatres Party, Ltd.","07/03/1942","07/03/1943","&nbsp;&nbsp;","","Auten, Harold","4","07/03/1942","07/03/1943"
"NEW ZEALAND","Theatre Management, Ltd.","07/03/1942","07/03/1943","Wellington&nbsp;&nbsp;","","Auten, Harold","4","07/03/1942","07/03/1943"
"DENMARK","Danish Travel Information Bureau","07/06/1942","07/06/1942","New York&nbsp;&nbsp;","NY","Christensen, Valdemar Emil","7","07/06/1942","07/06/1942"
"FINLAND","Ministry for Foreign Affairs","03/17/1943","01/15/1943","Helsinki&nbsp;&nbsp;","","Ramo, Herman Rudolf Kristian","10","07/07/1942","01/15/1943"
"FINLAND","Suomen-Matkat (Association Finland Travel)","07/07/1942","01/15/1943","Helsinki&nbsp;&nbsp;","","Ramo, Herman Rudolf Kristian","10","07/07/1942","01/15/1943"
"SWEDEN","ABL&P Widengren","08/05/1969","08/29/1972","Vingaker&nbsp;&nbsp;","","Swedish-American Chamber of Commerce, Inc.","13","07/06/1942","08/29/1972"
"SWEDEN","Port of Gothenburg","08/05/1969","08/29/1972","Gothenburg&nbsp;&nbsp;","","Swedish-American Chamber of Commerce, Inc.","13","07/06/1942","08/29/1972"
"SWEDEN","Swedish Government","07/06/1942","07/01/1971","Stockholm&nbsp;&nbsp;","","Swedish-American Chamber of Commerce, Inc.","13","07/06/1942","08/29/1972"
"GREECE","Hellenic Marine Environment Protection Association (HELMEPA)","03/30/1998","03/31/1998","5 Pergamou Street, NEA SMYRNI, 171 21, Athens&nbsp;&nbsp;","","Sampson, Theodore James","5248","03/30/1998","03/31/1998"
"ARGENTINA","Agencia Maritima","08/04/1944","01/08/1946","Buenos Aires&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Antonio Menchaca y Compania","08/04/1944","01/08/1946","Bilbao&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Auxiliar Maritima","08/04/1944","01/08/1946","Bilbao&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Compania Espanola de Navegacion Maritima, S.A.","07/08/1942","01/08/1946","Barcelona&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Compania Naviera Espanola","08/04/1944","01/08/1946","Madrid&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Compania Naviera Vascongada","08/04/1944","01/08/1946","&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Compania Trasatlantica, Administrada por el Estado-Apartado","07/08/1942","01/08/1946","Madrid&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Compania Trasmediterranea","07/08/1942","01/08/1946","Madrid&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"ECUADOR","Guayaquil & Quito Railway Company","08/04/1944","01/08/1946","Quito&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"GREECE","Hellenic Lines, Ltd.","07/08/1942","01/08/1946","Pireaus&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Hijo de Ramon Ramos","08/04/1944","01/08/1946","Barcelona&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Islena Maritima, S.A.","03/09/1943","01/08/1946","Madrid&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Jose Navas Escuder","08/04/1944","01/08/1946","Barcelona&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"SPAIN","Orion Compania Naviera","08/04/1944","01/08/1946","Madrid&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"ARGENTINA","Sud Americana de Exportacion e Importacion S.R., Ltda.","03/09/1943","01/08/1946","Buenos Aires&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"GREAT BRITAIN","West Hartlepool Steam Navigation Company","07/08/1942","01/08/1946","London, England&nbsp;&nbsp;","","Garcia & Diaz","16","07/08/1942","01/08/1946"
"CANADA","Canadian Advertising Agency, Ltd.","07/08/1942","01/08/1943","Montreal&nbsp;&nbsp;","","H.A. Bruno & Associates","19","07/08/1942","01/08/1943"
"FINLAND","Finnish-American Trading Corporation","07/09/1942","07/09/1943","New York&nbsp;&nbsp;","NY","Jarvinen, Vilho Olavi","24","07/09/1942","07/09/1943"
"ARGENTINA","Argentine Embassy","07/30/1943","07/09/1950","Washington&nbsp;&nbsp;","DC","LeRoy & Denslow","27","07/09/1942","07/09/1950"
"FRANCE","French Consulate","06/05/1950","03/01/1950","Washington&nbsp;&nbsp;","DC","LeRoy & Denslow","27","07/09/1942","07/09/1950"
"FINLAND","Legation of Finland","02/02/1944","07/09/1950","Washington&nbsp;&nbsp;","DC","LeRoy & Denslow","27","07/09/1942","07/09/1950"
"HUNGARY","Legation of Hungary","07/11/1946","11/07/1947","Washington&nbsp;&nbsp;","DC","LeRoy & Denslow","27","07/09/1942","07/09/1950"
"SWEDEN","Legation of Sweden, Department of Finnish Interests","07/28/1944","11/21/1945","Washington&nbsp;&nbsp;","DC","LeRoy & Denslow","27","07/09/1942","07/09/1950"
"SPAIN","Spanish Embassy","07/09/1942","02/06/1948","Washington&nbsp;&nbsp;","DC","LeRoy & Denslow","27","07/09/1942","07/09/1950"
"ISRAEL","Erez Israel (Palestine) Foundation Fund Keren Hayesod, Ltd.","07/09/1942","01/09/1945","Behavia, Jerusalem&nbsp;&nbsp;","","Blumenfeld, Kurt","30","07/09/1942","01/09/1945"
"CONGO REPUBLIC OF THE","Democratic Republic of the Congo","11/18/1998","01/30/2001","Kinshasa&nbsp;&nbsp;","","EAW Group, Inc.","5284","10/15/1998","10/31/2002"
"NIGERIA","Federal Republic of Nigeria","10/15/1998","10/31/1998","Abuja&nbsp;&nbsp;","","EAW Group, Inc.","5284","10/15/1998","10/31/2002"
"GAMBIA THE","Republic of Gambia","09/26/2001","10/01/2002","Office of the President  State House  Banjul&nbsp;&nbsp;","","EAW Group, Inc.","5284","10/15/1998","10/31/2002"
"GERMANY FEDERAL REPUBLIC OF","Johann Luehne, Sr.","07/10/1942","01/10/1945","Chicago&nbsp;&nbsp;","IL","Luehne Jr., John H.","33","07/10/1942","01/10/1945"
