"Country/LocationRepresented","Registrant","Registration #","RegistrationDate","Address","State","Foreign Principal","Foreign PrincipalRegistration Date"
"PORTUGAL","Portuguese National Tourist Office","172","01/23/1943","570 Fifth AvenueNew York&nbsp;&nbsp;10036","NY","Government of Portugal, Ministry for Foreign Affairs","01/23/1943"
"RUSSIA","New York Bureau of the Telegraph Agency of Russia (TASS)","464","06/03/1947","50 Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Telegraph Agency of Russia","10/12/1973"
"USSR","New York Bureau of the Telegraph Agency of Russia (TASS)","464","06/03/1947","50 Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Telegraph Agency of the U.S.S.R. (TASS)","06/03/1947"
"AUSTRALIA","Australian Broadcasting Corporation","394","11/19/1946","529 14th Street, N.W.Suite 510Washington&nbsp;&nbsp;20045","DC","Australian Broadcasting Corporation","11/19/1946"
"CANADA","National Film Board of Canada","437","04/21/1944","1123 BroadwaySuite 307New York&nbsp;&nbsp;10010","NY","National Film Board of Canada","04/21/1944"
"NETHERLANDS","Netherlands Chamber of Commerce in the U.S., Inc.","456","04/16/1947","One Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Central Institute for Trade Information (Filed New Exhibits on 2/26/73)","04/16/1947"
"NETHERLANDS","Netherlands Chamber of Commerce in the U.S., Inc.","456","04/16/1947","One Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Department of Economic Affairs","02/26/1973"
"NETHERLANDS","Netherlands Chamber of Commerce in the U.S., Inc.","456","04/16/1947","One Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Netherlands Government, Represented by Department of Economic Affairs","04/16/1947"
"NETHERLANDS","Netherlands Chamber of Commerce in the U.S., Inc.","456","04/16/1947","One Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Netherlands Railways","04/16/1947"
"NETHERLANDS","Netherlands Chamber of Commerce in the U.S., Inc.","456","04/16/1947","One Rockefeller PlazaNew York&nbsp;&nbsp;10020","NY","Royal Netherlands Industries Fair","04/16/1947"
"SWITZERLAND","Switzerland Tourism","55","03/01/1943","608 Fifth AvenueSuite 603New York&nbsp;&nbsp;10020-2303","NY","Swiss Federal Railroads","03/01/1943"
"SWITZERLAND","Switzerland Tourism","55","03/01/1943","608 Fifth AvenueSuite 603New York&nbsp;&nbsp;10020-2303","NY","Swiss National Tourist Office","03/27/1973"
"BERMUDA","Bermuda Tourism Authority","430","01/30/1947","675 Third Avenue12th FloorNew York&nbsp;&nbsp;10017","NY","Government of Bermuda, Department of Tourism","07/14/1948"
"BERMUDA","Bermuda Tourism Authority","430","01/30/1947","675 Third Avenue12th FloorNew York&nbsp;&nbsp;10017","NY","Bermuda Tourism Authority","08/21/2014"
"SPAIN","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Aceitunas de Mesa, S.A.","06/25/1970"
"FRANCE","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Aquitaine Oil Corporation","02/21/1966"
"AFGHANISTAN","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Ariana Afghan Airlines Company, Ltd.","08/13/1965"
"FRANCE","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Banque Nationale de Paris","05/06/1976"
"GREAT BRITAIN","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","BNS, Inc.","04/18/1988"
"VENEZUELA","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Chambers of Commerce of Venezuela","11/09/1950"
"AUSTRALIA","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Colonial Sugar Refining Company, Ltd.","07/31/1961"
"FRANCE","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Comite Franc-Dollar","02/27/1953"
"FRANCE","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Conseil National du Patronat Francais","02/20/1952"
"CUBA","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Cuban Sugar Cane Growers' Association","02/02/1955"
"CUBA","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Cuban Sugar Cane Growers' Association","02/19/1958"
"JAPAN","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Embassy of Japan","07/17/1963"
"BELGIUM","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","European Atomic Energy Commission","11/10/1959"
"BELGIUM","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","European Economic Commission","03/23/1959"
"KUWAIT","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Government of Kuwait, Ministry of Finance","07/29/1980"
"KUWAIT","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Government of Kuwait, Ministry of Oil","03/08/1982"
"KUWAIT","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Government of Kuwait, Ministry of Oil","01/06/1983"
"FRANCE","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Government of the French Republic","01/19/1948"
"PHILIPPINES","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Government of the Philippines","01/20/1987"
"LUXEMBOURG","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","High Authority, European Coal & Steel Community","08/18/1954"
"INTERNATIONAL","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Institute of International Bankers","05/20/1994"
"IRAN","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Iran National Airlines Corporation","06/19/1964"
"MEXICO","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Ministry of Communications and Transportation of Mexico","03/21/1996"
"MEXICO","Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","2000 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20006-1801","DC","Ministry of Finance & Public Credit of Mexico","04/04/1991"
