"Registrant","Registration #","RegistrationDate","BusinessName"
"35 Nord","7194","11/23/2022",""
"5W Public Relations, LLC","7118","05/12/2022",""
"A.T. Kearney, Inc.","7439","08/08/2024",""
"AA Access Partnership Pte Ltd","7448","08/23/2024",""
"AF International, LLC","6639","02/18/2019",""
"AK Party Representation to the United States LLC","7115","05/11/2022",""
"AMBAL LLC","7291","07/03/2023",""
"AMWPR, Inc.","7514","01/06/2025",""
"APCO Worldwide LLC","6582","08/22/2018",""
"ASG Corp.","7556","03/17/2025",""
"Abandelwa, Jacques","6950","04/28/2021",""
"Aether Group LLC","7385","03/22/2024",""
"Aferdita Rakipi Communications LLC","7290","07/03/2023",""
"Ahmed, Summer","6983","08/03/2021",""
"Ajjan Associates LLC","7533","02/04/2025",""
"Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983",""
"Alaaldin, Farhad","6864","09/01/2020",""
"Alianza Republicana de las Americas - Republican Alliance of the Americas","7195","11/24/2022",""
"Alignment Government Strategies","6317","09/18/2015",""
"Ambassador Hugo Llorens and Global Partners LLC","7280","05/31/2023",""
"Ambessa Solutions LLC","6962","05/17/2021",""
"American Defense International, Inc.","6567","07/05/2018",""
"American Kurdish Committee, Inc. (AKC)","7367","01/31/2024",""
"Amsterdam & Partners, LLP","6325","10/26/2015",""
"Anglin, Dion","7391","03/28/2024",""
"Angwenyi, David Matara","7212","04/26/2023",""
"Aquila Strategies, LLC","7409","05/15/2024",""
"Arab Information Center","876","03/03/1955",""
"Aramco Affiliated Services Company (AASC)","6390","11/14/2016",""
"Arena Strategy Group, LLC","6899","12/09/2020",""
"ArentFox Schiff LLP","6952","04/30/2021",""
"Arnold & Porter Kaye Scholer LLP","1750","06/04/1964",""
"Aruba Tourism Authority","2987","12/29/1978",""
"Atef, Ahmed Ali","7078","02/09/2022",""
"Austrian Tourist Office, Inc.","495","10/03/1947",""
"BGR Government Affairs, LLC","5430","05/10/2001",""
"Bachner Group LLC","7271","05/12/2023",""
"Baez, Amado Alejandro","7292","07/11/2023",""
"Bahamas Tourist Office","2310","01/27/1972","Bahamas News Bureau"
"Baker & Hostetler LLP","6966","05/27/2021",""
"Ballard Partners","7070","01/13/2022",""
"Barnes & Thornburg LLP","6594","09/24/2018",""
"Barros, Miquel Fernandez","7197","11/29/2022",""
"Barzan Aeronautical LLC","6635","02/11/2019",""
"Basilinna Advisory LLC","7515","01/10/2025",""
"Basis Global Technologies, Inc.","7304","08/03/2023",""
"Bavarian U.S. Offices for Economic Development, LLC","6015","01/07/2011",""
"Bayaziddi, Salah","6595","09/27/2018",""
"Beacon Policy Advisors LLC","6658","04/09/2019",""
"Becker & Poliakoff","7089","03/07/2022",""
"Beef + Lamb New Zealand, Ltd.","2526","07/08/1974",""
"Behrend, Jane S.","6902","12/30/2020",""
"Ben Barnes Group","7250","03/28/2023",""
"Beni Productions LLC","7549","02/28/2025",""
"Berliner Corcoran & Rowe, LLP","5299","02/02/1999",""
"Bermuda Tourism Authority","430","01/30/1947",""
"BlackSummit Capital LLC","7424","06/17/2024",""
"Blackwood International Strategic Advisors, LLC","7542","02/18/2025",""
"Blueprint Advisors LLC","6561","06/01/2018",""
"Brand South Africa","6342","03/21/2016",""
"Braynard, Matthew Martin","7459","09/07/2024",""
"Brazys, Samuel","7293","07/12/2023",""
"Bridgeway Advocacy, LLC","7374","02/15/2024",""
"BrightHead Consulting LLC","7438","08/05/2024",""
"British Virgin Islands Tourist Board","3354","04/08/1982",""
"Brownstein Hyatt Farber Schreck, LLP","5870","06/16/2008",""
"Broydrick and Associates, Inc.","6796","02/26/2020",""
"Brunswick Group LLC","6826","05/20/2020",""
"Bryan Cave Leighton Paisner LLP","7157","08/12/2022",""
"Bullpen Strategy Group, LLC","6504","12/29/2017","Definers Corp."
"Burke Consulting LLC","7473","10/15/2024",""
"Business Finland USA, Inc.","7318","08/31/2023",""
"Butterfield Evans & Associates, LLC","6579","07/31/2018",""
"CHP Representation to the United States, LLC","6168","05/06/2013",""
"CITGO Holding, Inc. (CITGOH)","6995","08/20/2021",""
"CITGO Petroleum Corporation (CPC)","6996","08/20/2021",""
"Camstoll Group, LLC","6144","12/10/2012",""
"Capital K, LLC","7456","09/05/2024",""
"Capitol Counsel, LLC","6328","11/19/2015",""
"Capitol Media Group","6412","03/31/2017",""
"Caribbean Tourism Organization, USA Inc.","991","12/31/1956",""
"Carlos Abadi","6825","05/19/2020",""
"Carrara Group LLC dba Carrara Nevada","7399","04/17/2024",""
"Catalan National Assembly in the United States of America Association","7111","04/30/2022",""
"Catalyst Research Inc. d/b/a The RXN Group","7422","06/14/2024",""
"Cavas, Ahmet","7513","01/03/2025",""
"Cayman Islands Department of Tourism","2500","03/04/1974",""
"Center for International Policy","6896","11/25/2020",""
"Certus Insights, LLC","6801","03/18/2020",""
